,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
0,2022,1,Buenos Aires,76.08,63,31591,30056,313382,321756,290127,161183,3381049,26280.0,392045.0,2728865,1242121,125521,66872.0
1,2022,1,Capital Federal,111.8,88,527,5575,39918,77390,61053,43289,1188072,1717.0,102290.0,1217225,62308,5784,29934.0
2,2022,1,Catamarca,58.21,51,71,456,4386,7009,8773,3761,35715,2207.0,14181.0,15517,29118,1328,2234.0
3,2022,1,Chaco,44.06,46,461,1099,16888,21235,20898,13012,62946,7580.0,32391.0,64546,36662,8164,2356.0
4,2022,1,Chubut,88.05,13,113,1677,61369,31856,33080,13871,14055,15607.0,44133.0,66667,9184,30592,21052.0
5,2022,1,Córdoba,85.76,50,100,12782,165922,126009,73967,34892,577027,13104.0,195610.0,501799,235838,60843,9713.0
6,2022,1,Corrientes,47.64,38,67,4029,24563,25665,27077,10452,43631,7094.0,40462.0,79093,10875,6774,5374.0
7,2022,1,Entre Ríos,63.7,36,107,5745,50075,49620,42294,21578,81757,16750.0,67159.0,138986,23091,26098,12592.0
8,2022,1,Formosa,34.96,30,97,448,24113,6945,6613,716,15028,588.0,16397.0,15927,5146,16876,202.0
9,2022,1,Jujuy,58.06,28,58,1761,22141,16321,37923,576,35287,2442.0,21307.0,60616,25949,4662,3975.0
10,2022,1,La Pampa,91.66,15,301,2223,62812,9869,12044,5250,14400,2833.0,8003.0,58978,21739,19903,1109.0
11,2022,1,La Rioja,78.77,41,18,778,3576,4692,23624,5645,45970,0.0,9103.0,59228,9546,6395,31.0
12,2022,1,Mendoza,48.74,26,114,3355,51230,26407,74178,21566,95048,3287.0,49464.0,74145,123228,26969,1379.0
13,2022,1,Misiones,49.04,42,51,3873,35655,22261,26855,15854,58610,8349.0,39147.0,91752,25178,7807,7624.0
14,2022,1,Neuquén,74.17,43,137,1123,39856,15623,11163,2654,71238,7885.0,28443.0,73200,24193,23098,745.0
15,2022,1,Río Negro,67.04,31,116,1383,35565,18859,26926,14144,37729,22652.0,38662.0,45366,38037,16815,18494.0
16,2022,1,Salta,56.11,37,114,1725,35576,68246,6313,2214,76838,6489.0,44714.0,98667,40994,5950,7190.0
17,2022,1,San Juan,43.55,12,26,2269,32356,11914,25144,2088,11916,2465.0,34038.0,14449,11294,20723,7674.0
18,2022,1,San Luis,80.72,21,61,643,8287,3837,9802,68612,13,28589.0,7987.0,11296,31,71809,28721.0
19,2022,1,Santa Cruz,43.34,11,51,6898,12710,11502,12277,2628,2551,485.0,10537.0,23420,10766,3974,405.0
20,2022,1,Santa Fe,77.3,39,468,12435,143796,208361,84787,58018,344170,18444.0,213486.0,444609,146552,45261,20571.0
21,2022,1,Santiago Del Estero,47.17,14,178,1401,30220,61170,13542,849,8309,792.0,18118.0,87979,1093,6349,2922.0
22,2022,1,Tierra Del Fuego,98.29,11,24,894,12849,15640,18034,1767,982,2421.0,13031.0,38700,416,124,340.0
23,2022,1,Tucumán,57.39,47,39,2212,36028,46961,21014,5211,133846,273.0,92532.0,62396,86174,3995,487.0
24,2021,4,Buenos Aires,75.66,60,37821,11026,352950,331292,297296,196021,3259793,22958.0,426325.0,2706506,1176024,126887,73415.0
25,2021,4,Capital Federal,111.27,83,563,1695,47133,81899,66135,66755,1147939,0.0,111360.0,1205128,60005,5679,29947.0
26,2021,4,Catamarca,55.25,46,71,0,6038,7855,9804,3262,29827,2233.0,16385.0,13858,25100,1512,2235.0
27,2021,4,Chaco,44.05,42,461,112,18845,22678,21937,13692,58435,7585.0,35548.0,63145,34688,8005,2359.0
28,2021,4,Chubut,82.57,9,126,1294,63698,39568,31175,5780,2904,15763.0,46361.0,57412,9655,28041,18839.0
29,2021,4,Córdoba,84.51,46,100,2479,184548,130892,76246,41198,538700,12607.0,212011.0,487489,217214,61277,8779.0
30,2021,4,Corrientes,45.51,36,67,645,28830,26368,22922,10087,39911,7082.0,42523.0,71183,10138,6778,5290.0
31,2021,4,Entre Ríos,63.16,33,107,3024,56043,49636,38295,24068,77290,16583.0,70459.0,133387,23452,25022,12726.0
32,2021,4,Formosa,34.45,29,84,0,22908,6983,6811,1135,13775,1967.0,17211.0,15111,5151,16018,172.0
33,2021,4,Jujuy,56.92,27,58,175,22446,16793,38134,564,33421,2324.0,22330.0,60511,24156,2927,3991.0
34,2021,4,La Pampa,89.57,14,301,493,64840,9082,12259,4821,12184,3027.0,8175.0,58000,20192,19286,1354.0
35,2021,4,La Rioja,77.92,40,18,1,5018,5437,23559,5671,43424,0.0,10387.0,56651,9446,6613,31.0
36,2021,4,Mendoza,47.51,22,156,1463,66428,30308,75214,18621,75031,366.0,59842.0,71553,109667,24666,1859.0
37,2021,4,Misiones,49.06,39,51,5,41916,23554,26721,15954,54596,8335.0,41778.0,92068,22035,7649,7602.0
38,2021,4,Neuquén,73.3,40,140,940,42313,13264,10515,3310,69217,7767.0,29175.0,72761,23253,21531,746.0
39,2021,4,Río Negro,65.69,27,156,1174,38373,19878,31255,4130,36142,22645.0,42037.0,44495,32212,16558,18451.0
40,2021,4,Salta,56.81,34,114,20,40673,69324,6642,3535,72622,6475.0,46972.0,99808,39555,5882,7188.0
41,2021,4,San Juan,39.59,11,44,1442,28906,10955,23978,398,9800,4435.0,35868.0,13102,11072,11423,8493.0
42,2021,4,San Luis,80.3,21,62,264,8550,4276,9107,67363,9,29218.0,8472.0,11064,30,70560,28723.0
43,2021,4,Santa Cruz,43.05,9,52,297,20305,11641,13054,1770,876,491.0,10790.0,22902,10031,4346,417.0
44,2021,4,Santa Fe,77.09,36,467,581,169706,206856,85690,62349,322015,18777.0,233427.0,444373,128856,43556,16229.0
45,2021,4,Santiago Del Estero,47.05,14,178,909,31915,61524,12205,800,7537,793.0,19032.0,86563,1088,6256,2922.0
46,2021,4,Tierra Del Fuego,98.4,11,26,385,13505,16534,16562,1748,1017,2580.0,13317.0,38148,426,124,342.0
47,2021,4,Tucumán,55.93,45,39,97,37321,48736,21023,5326,125857,240.0,97830.0,59022,78790,2511,486.0
48,2021,3,Buenos Aires,71.68,56,37193,31149,1108940,248153,141383,192797,2482266,9728.0,585729.0,2595485,885613,120228,64554.0
49,2021,3,Capital Federal,111.27,78,295,603,156978,67013,39785,73502,1075229,0.0,142902.0,1192107,42966,6059,29371.0
50,2021,3,Catamarca,52.71,43,71,0,6755,8428,10517,1659,26618,2206.0,18413.0,11709,22331,1568,2233.0
51,2021,3,Chaco,42.96,39,301,112,22545,20986,23852,14412,49705,7958.0,38258.0,63659,27583,8018,2353.0
52,2021,3,Chubut,80.71,8,104,105,89168,26281,18538,5320,1643,14907.0,49269.0,55794,8946,23376,18681.0
53,2021,3,Córdoba,81.28,42,99,2452,204989,141285,65050,47198,476459,9256.0,229275.0,477223,167495,57617,15178.0
54,2021,3,Corrientes,44.9,32,67,645,29629,28478,24792,9687,35468,5053.0,44805.0,69403,7542,6766,5303.0
55,2021,3,Entre Ríos,62.18,30,107,3024,61354,59776,39114,16284,67961,12755.0,74443.0,128752,20485,23500,13195.0
56,2021,3,Formosa,33.96,27,381,0,22778,7142,6978,1192,12707,1617.0,18093.0,14111,4730,15690,171.0
57,2021,3,Jujuy,55.69,26,48,175,23884,16417,37755,561,29917,2401.0,23554.0,60758,19926,2952,3968.0
58,2021,3,La Pampa,84.28,13,298,313,65063,7395,8737,4023,10506,4152.0,9015.0,57881,17817,14479,1295.0
59,2021,3,La Rioja,77.26,39,18,1,5366,5979,23315,4868,42613,0.0,11329.0,54744,9444,6613,30.0
60,2021,3,Mendoza,45.55,13,36,31,151871,12640,62628,7596,21087,50.0,91474.0,71247,70579,21811,828.0
61,2021,3,Misiones,45.57,31,51,5,41932,25099,26079,14792,42291,8279.0,43230.0,89469,10969,7198,7662.0
62,2021,3,Neuquén,69.71,38,112,327,57441,8566,6234,3631,57919,5579.0,29650.0,73794,16455,19270,640.0
63,2021,3,Río Negro,61.97,25,125,557,68991,3730,14880,2282,34011,20009.0,47934.0,44519,18725,15031,18376.0
64,2021,3,Salta,55.96,31,101,20,41431,70104,6962,3878,67010,6327.0,49212.0,98318,36126,5724,6453.0
65,2021,3,San Juan,39.46,7,18,333,59873,752,13250,338,278,4641.0,40072.0,12922,6670,11372,8447.0
66,2021,3,San Luis,79.87,22,60,0,11552,2405,6491,67942,22,29392.0,8417.0,11884,27,68856,28680.0
67,2021,3,Santa Cruz,43.75,8,50,0,30561,8365,6799,1788,678,735.0,12347.0,22961,6328,4269,3071.0
68,2021,3,Santa Fe,75.02,33,467,579,193207,201250,83941,55080,290793,16267.0,245929.0,443156,93412,43447,15640.0
69,2021,3,Santiago Del Estero,47.0,13,123,909,32752,61838,11274,801,6863,898.0,19939.0,85535,909,6147,2928.0
70,2021,3,Tierra Del Fuego,94.95,10,17,0,23723,13397,9782,1433,976,895.0,12853.0,36958,6,16,390.0
71,2021,3,Tucumán,54.64,42,32,97,39446,50293,21986,5300,115154,164.0,104489.0,53868,70964,2408,743.0
72,2021,2,Buenos Aires,70.0,53,37192,31178,1096049,244001,140322,236897,2337604,9108.0,603255.0,2503830,854173,113546,57547.0
73,2021,2,Capital Federal,110.14,73,294,603,157558,73568,43859,86655,1037752,66.0,148989.0,1175097,41318,5580,29371.0
74,2021,2,Catamarca,52.34,42,71,0,7219,9091,6828,4941,25388,2206.0,20305.0,9426,22331,1449,2233.0
75,2021,2,Chaco,43.33,37,301,112,23444,21574,24032,16069,47239,7958.0,39826.0,62948,27584,8018,2353.0
76,2021,2,Chubut,72.29,8,104,105,89639,22605,16604,3896,1112,5172.0,49271.0,41497,6081,23682,18706.0
77,2021,2,Córdoba,80.12,40,99,2452,201757,136516,66950,70824,442357,9925.0,239780.0,467782,151855,55944,15519.0
78,2021,2,Corrientes,43.54,30,67,645,29419,27037,24524,10059,32697,5053.0,46648.0,67262,3731,6557,5303.0
79,2021,2,Entre Ríos,61.66,28,107,3024,63518,55349,39468,18484,61605,16077.0,77836.0,124957,17856,23786,13197.0
80,2021,2,Formosa,33.23,24,381,0,22364,7310,7460,1341,11077,1618.0,19571.0,12509,3610,15690,171.0
81,2021,2,Jujuy,56.18,26,48,175,24182,16577,37908,607,29950,2401.0,24738.0,60800,19611,2731,3968.0
82,2021,2,La Pampa,82.08,12,298,554,64146,7769,8128,3399,9311,4062.0,9017.0,57014,17132,13209,1295.0
83,2021,2,La Rioja,76.98,39,18,1,5312,5971,23298,4825,42158,19.0,11627.0,54255,9445,6245,30.0
84,2021,2,Mendoza,40.97,13,36,31,137462,10886,56117,4403,20686,50.0,91503.0,70834,44696,21811,827.0
85,2021,2,Misiones,45.01,29,51,5,41643,25907,25811,16172,38308,8279.0,44960.0,87861,10376,5317,7662.0
86,2021,2,Neuquén,69.14,36,112,327,57713,8631,5871,5943,54008,5645.0,30083.0,72690,15619,19218,640.0
87,2021,2,Río Negro,61.94,24,125,557,69356,3663,15019,3867,31488,20009.0,48189.0,43761,18727,15031,18376.0
88,2021,2,Salta,54.93,29,101,20,42543,67012,7099,9654,58882,6328.0,51396.0,96016,32050,5724,6453.0
89,2021,2,San Juan,39.28,7,18,333,59989,784,12550,340,278,4641.0,40072.0,12369,6673,11372,8447.0
90,2021,2,San Luis,83.48,22,60,0,11752,2703,5418,65946,22,36917.0,8417.0,11308,28,66860,36205.0
91,2021,2,Santa Cruz,44.01,8,50,0,30595,8463,6888,1575,676,735.0,12347.0,22967,6328,4269,3071.0
92,2021,2,Santa Fe,75.07,31,467,896,202018,204077,80452,75195,262124,15371.0,256741.0,431915,90424,43997,17523.0
93,2021,2,Santiago Del Estero,46.56,13,123,909,32034,62224,10359,811,6064,1566.0,20734.0,83770,909,5081,3596.0
94,2021,2,Tierra Del Fuego,67.89,9,17,0,21335,6913,4580,476,889,1483.0,12853.0,22504,6,14,316.0
95,2021,2,Tucumán,54.93,40,32,97,40224,51648,23732,5022,109616,2680.0,110429.0,48359,71683,1837,743.0
96,2021,1,Buenos Aires,69.11,51,36939,31187,1108368,240520,163747,222061,2246313,10867.0,629679.0,2452056,821597,98806,57864.0
97,2021,1,Capital Federal,108.42,68,135,244,159662,76753,56457,83255,1003041,126.0,159805.0,1145093,39980,5559,29236.0
98,2021,1,Catamarca,48.9,40,71,0,7423,8455,10115,712,22996,2196.0,26316.0,4409,18688,322,2233.0
99,2021,1,Chaco,43.14,34,301,112,24357,22102,27556,14496,42462,8384.0,43214.0,61251,25426,8004,1875.0
100,2021,1,Chubut,68.99,8,106,109,86986,21401,15392,2844,1112,4390.0,45501.0,40960,3444,23723,18712.0
101,2021,1,Córdoba,78.59,36,93,2386,211799,135092,74659,71984,402191,12677.0,260350.0,444695,134634,54137,17065.0
102,2021,1,Corrientes,42.66,26,67,527,31544,26223,26169,9001,27641,5453.0,49160.0,62876,3337,5949,5303.0
103,2021,1,Entre Ríos,60.44,24,105,2911,67255,56060,42432,15774,54600,12826.0,83688.0,118424,16846,20836,12169.0
104,2021,1,Formosa,32.73,21,56,0,22409,7569,7916,1215,9579,1942.0,20663.0,11412,2562,15669,380.0
105,2021,1,Jujuy,55.63,27,49,175,23735,17293,40649,568,25609,2378.0,32254.0,54324,17322,2677,3879.0
106,2021,1,La Pampa,81.78,11,298,554,68200,7864,7611,2786,7368,2424.0,8946.0,58711,15779,12369,1300.0
107,2021,1,La Rioja,49.81,13,18,1,36749,5968,4604,215,5074,-1.0,17363.0,34984,1,250,30.0
108,2021,1,Mendoza,39.15,13,28,40,134386,11216,52533,4061,16615,44.0,91844.0,69295,38619,18332,833.0
109,2021,1,Misiones,43.17,25,51,524,40949,25503,27101,14050,32953,8256.0,48292.0,82339,7064,4796,6896.0
110,2021,1,Neuquén,66.84,34,116,327,56171,8443,5903,5677,50840,5758.0,30223.0,70457,14171,17752,632.0
111,2021,1,Río Negro,60.88,22,125,466,70011,4187,13045,3642,29589,20103.0,48777.0,42192,17828,13994,18377.0
112,2021,1,Salta,53.93,27,109,20,40785,68149,9164,8139,54889,6319.0,54768.0,89187,31498,5669,6452.0
113,2021,1,San Juan,39.06,7,25,194,60439,858,11494,340,276,4641.0,40072.0,11589,6671,11482,8453.0
114,2021,1,San Luis,81.24,22,58,0,11889,2926,4429,62913,22,36917.0,8417.0,10678,28,63826,36205.0
115,2021,1,Santa Cruz,41.65,8,50,0,30655,8334,6987,1337,647,-1945.0,12347.0,23089,5975,4264,390.0
116,2021,1,Santa Fe,73.92,28,518,891,201632,204458,91846,65476,236924,24382.0,277012.0,421480,70976,39140,17519.0
117,2021,1,Santiago Del Estero,45.67,12,123,909,33884,58464,8549,700,4868,4144.0,26468.0,75849,570,5158,3596.0
118,2021,1,Tierra Del Fuego,77.35,9,17,0,21379,1468,4317,486,919,11836.0,12853.0,27247,6,0,316.0
119,2021,1,Tucumán,54.82,38,29,97,42810,53416,25255,4188,103437,2680.0,147199.0,12185,69954,1834,740.0
120,2020,4,Buenos Aires,68.98,50,36939,31197,1109865,242243,214171,213588,2176242,9016.0,635651.0,2441248,804991,93444,57927.0
121,2020,4,Capital Federal,108.31,67,135,244,160210,78123,60208,80269,1000073,268.0,163060.0,1142528,39890,4815,29237.0
122,2020,4,Catamarca,49.41,38,71,0,8843,8740,11436,591,20406,2309.0,26870.0,5115,17856,322,2233.0
123,2020,4,Chaco,43.03,32,301,112,24782,22479,26802,15701,40949,7965.0,44332.0,61200,23687,7997,1875.0
124,2020,4,Chubut,68.35,7,106,109,88157,21824,12046,2818,1112,4402.0,45703.0,39756,3040,23363,18712.0
125,2020,4,Córdoba,78.08,35,119,2386,214963,135262,82221,70013,384169,13568.0,267396.0,439322,125620,52827,17536.0
126,2020,4,Corrientes,42.43,25,67,527,31900,26321,25687,9383,26789,4985.0,50102.0,61495,3146,5626,5290.0
127,2020,4,Entre Ríos,59.47,24,105,2911,65659,53556,40755,16600,53141,14654.0,85683.0,113670,15653,20206,12169.0
128,2020,4,Formosa,32.49,20,56,0,23540,7606,7181,1197,8946,1680.0,21264.0,10789,2432,15341,380.0
129,2020,4,Jujuy,53.46,25,49,182,23772,14379,44930,446,19282,2811.0,32850.0,52815,15639,1077,3470.0
130,2020,4,La Pampa,81.77,10,298,554,70184,8124,6562,2396,6257,2520.0,9009.0,58945,15432,12194,1315.0
131,2020,4,La Rioja,50.11,13,18,1,36906,6060,4633,181,4979,0.0,17513.0,34984,1,250,30.0
132,2020,4,Mendoza,38.63,11,28,40,146312,11172,40396,3378,11557,2570.0,91842.0,68364,36083,18331,833.0
133,2020,4,Misiones,42.64,25,51,524,39988,26078,26445,14810,32264,7001.0,49462.0,79855,6589,4359,6896.0
134,2020,4,Neuquén,67.0,34,116,327,56434,8478,5791,5493,50776,5720.0,30468.0,70614,13732,17689,632.0
135,2020,4,Río Negro,61.09,22,125,466,70305,4153,13131,3512,29372,20146.0,48991.0,42022,17826,13994,18377.0
136,2020,4,Salta,54.04,25,109,514,41443,68829,15188,8291,46697,6319.0,56659.0,87817,30604,5858,6452.0
137,2020,4,San Juan,36.32,6,25,194,61316,740,5126,332,275,4588.0,40072.0,7004,6599,10468,8453.0
138,2020,4,San Luis,81.68,21,58,0,14020,3490,2688,62239,22,36918.0,8417.0,11767,27,63019,36205.0
139,2020,4,Santa Cruz,37.0,7,47,0,27173,4382,6634,1033,647,758.0,12347.0,19657,1041,4659,2970.0
140,2020,4,Santa Fe,73.58,27,518,891,206372,203793,94246,65145,226246,23602.0,287271.0,414746,62692,38712,17392.0
141,2020,4,Santiago Del Estero,43.75,11,123,909,34518,57590,4666,411,4520,3932.0,26812.0,70522,570,5169,3596.0
142,2020,4,Tierra Del Fuego,76.27,8,17,0,21881,6119,3497,488,922,6690.0,12853.0,26439,6,0,316.0
143,2020,4,Tucumán,54.78,36,29,97,44095,54334,32155,4105,93594,2680.0,149322.0,11150,68043,1834,740.0
144,2020,3,Buenos Aires,67.66,48,37542,31514,1113823,234710,219772,194248,2085815,19853.0,653930.0,2384557,749087,94162,55541.0
145,2020,3,Capital Federal,107.68,64,264,312,162222,85083,68753,78028,977766,247.0,170375.0,1129573,39417,3936,29374.0
146,2020,3,Catamarca,47.16,37,63,0,8276,8768,11195,562,18886,2154.0,26868.0,3690,16857,261,2228.0
147,2020,3,Chaco,41.54,31,308,112,24675,21639,27546,13751,38729,7194.0,45745.0,58825,20675,6706,2003.0
148,2020,3,Chubut,68.34,7,158,109,87559,22114,12217,2818,1110,3942.0,45761.0,39386,2897,23216,18767.0
149,2020,3,Córdoba,75.22,34,168,3064,218599,124833,84236,63823,361021,11728.0,276360.0,430771,102217,48368,9756.0
150,2020,3,Corrientes,41.75,24,72,527,35190,23315,25308,8615,25344,5020.0,50858.0,58681,2960,5513,5379.0
151,2020,3,Entre Ríos,58.19,22,130,2911,66648,51478,40797,14377,49395,15759.0,87892.0,106950,13954,20379,12320.0
152,2020,3,Formosa,31.91,18,391,151,23163,7432,7125,991,8219,1737.0,21790.0,10003,2000,15023,393.0
153,2020,3,Jujuy,54.04,22,55,182,32131,10566,45198,293,15238,3065.0,32611.0,57682,11112,952,4371.0
154,2020,3,La Pampa,79.26,11,293,810,66695,7820,5577,2189,6322,4029.0,9015.0,56845,14677,11893,1305.0
155,2020,3,La Rioja,50.12,12,21,1,37105,5955,4660,124,4748,2.0,17346.0,34984,1,250,35.0
156,2020,3,Mendoza,37.35,10,58,40,141404,12123,42433,3448,8237,45.0,91908.0,64672,32817,17523,868.0
157,2020,3,Misiones,41.6,24,71,524,39005,24215,25942,13663,30987,8779.0,50195.0,77989,2572,3445,8985.0
158,2020,3,Neuquén,65.24,31,218,327,60463,6561,5975,5449,49439,803.0,30222.0,70446,11043,16787,737.0
159,2020,3,Río Negro,57.05,21,114,466,68986,3769,7096,3455,28488,19093.0,49530.0,40001,10381,13187,18368.0
160,2020,3,Salta,52.32,25,129,514,32780,64736,15990,7928,43773,14996.0,58216.0,84128,25445,5764,7293.0
161,2020,3,San Juan,38.79,6,48,194,65526,711,6529,41,128,4150.0,40092.0,9223,5509,14023,8480.0
162,2020,3,San Luis,79.96,21,105,0,12199,3351,2666,61319,8,36917.0,8401.0,10077,6,61828,36253.0
163,2020,3,Santa Cruz,35.95,7,66,0,26888,4015,6730,629,120,833.0,12845.0,16098,1027,6938,2373.0
164,2020,3,Santa Fe,72.12,26,568,1241,213353,199381,92095,58797,210562,27001.0,295051.0,405807,45721,37112,19307.0
165,2020,3,Santiago Del Estero,43.38,11,133,909,33287,57418,4658,292,3994,4801.0,26419.0,70720,555,4185,3613.0
166,2020,3,Tierra Del Fuego,76.81,9,11,0,22094,5414,3726,481,937,6992.0,12854.0,26491,0,0,310.0
167,2020,3,Tucumán,53.23,35,52,97,45913,54610,33126,3246,84195,2637.0,149605.0,11752,59949,1808,762.0
168,2020,2,Buenos Aires,65.22,46,37542,31606,1129236,241336,233132,188995,1894466,21233.0,661272.0,2244277,723072,91736,57189.0
169,2020,2,Capital Federal,106.41,60,264,312,166474,94585,79858,80160,935481,687.0,178896.0,1106133,39482,3937,29373.0
170,2020,2,Catamarca,45.43,35,63,0,8801,8690,10242,426,16578,3176.0,26968.0,3641,14878,261,2228.0
171,2020,2,Chaco,39.83,28,308,928,24350,21140,29044,12082,33311,6969.0,46816.0,56017,17266,6452,1581.0
172,2020,2,Chubut,57.34,8,158,109,69578,22188,10537,1473,614,3999.0,45761.0,38279,1324,17678,5614.0
173,2020,2,Córdoba,72.71,31,168,4383,219025,125932,89530,63216,325243,8971.0,282858.0,415007,85818,44522,8263.0
174,2020,2,Corrientes,40.3,22,72,527,34242,22845,25844,7898,22418,5020.0,51248.0,55536,3144,3927,5011.0
175,2020,2,Entre Ríos,56.54,20,130,3679,66758,50640,42090,12856,43391,14569.0,89391.0,99423,13954,20042,11303.0
176,2020,2,Formosa,31.14,17,391,151,23534,7109,6998,961,7475,1313.0,21805.0,9353,1882,14723,169.0
177,2020,2,Jujuy,47.89,16,55,182,30548,10519,26829,209,9417,16557.0,32705.0,38938,5057,952,16664.0
178,2020,2,La Pampa,76.1,8,293,810,71218,7531,3800,1657,3377,1123.0,8551.0,54422,14232,11314,1290.0
179,2020,2,La Rioja,49.84,12,21,1,37375,5661,4686,73,4336,2.0,16885.0,34984,1,250,35.0
180,2020,2,Mendoza,36.25,9,58,40,142253,12439,35274,3248,5422,2450.0,91904.0,62941,29613,15924,802.0
181,2020,2,Misiones,40.89,23,71,524,39867,23719,26445,12305,28763,8646.0,50792.0,74497,2579,3319,9153.0
